# t, hp, hx
1.079207658400000103e+00 -4.452232681700000194e-01 -3.167968798099999872e-01
1.079289091299999948e+00 -4.478647154500000060e-01 -3.141329439000000168e-01
1.079370523199999932e+00 -4.456093808600000150e-01 -3.092125884099999888e-01
1.079451954100000055e+00 -4.401084133500000051e-01 -3.048182700500000064e-01
1.079533384100000104e+00 -4.339911801799999913e-01 -3.032776123600000040e-01
1.079614813000000062e+00 -4.300113615100000231e-01 -3.052952117600000181e-01
1.079696240799999929e+00 -4.304979432500000147e-01 -3.098636393299999958e-01
1.079777667499999927e+00 -4.340840210799999932e-01 -3.144658354000000045e-01
1.079859093100000056e+00 -4.379174711600000158e-01 -3.176727853399999857e-01
1.079940517600000094e+00 -4.409561896900000000e-01 -3.186553001299999854e-01
1.080021169999999975e+00 -4.423737411700000011e-01 -3.162403072800000214e-01
1.080102592100000036e+00 -4.413740710999999872e-01 -3.116638376099999941e-01
1.080184013300000023e+00 -4.380544378099999747e-01 -3.075312105399999885e-01
1.080265433299999911e+00 -4.336349730499999833e-01 -3.056537121899999820e-01
1.080346852299999938e+00 -4.307246939700000166e-01 -3.068511270300000038e-01
1.080428270200000096e+00 -4.315490878100000094e-01 -3.100192016200000178e-01
1.080509687199999957e+00 -4.353746929999999793e-01 -3.142517997700000065e-01
1.080591103199999958e+00 -4.397692160000000183e-01 -3.187595601300000081e-01
1.080672518200000098e+00 -4.425786182700000015e-01 -3.213342243299999734e-01
1.080753932099999925e+00 -4.432744809799999963e-01 -3.201694688599999727e-01
1.080835344999999892e+00 -4.422048894799999741e-01 -3.149075837199999950e-01
1.080916757000000006e+00 -4.396370515699999926e-01 -3.085706780599999921e-01
1.080998168000000037e+00 -4.364163020399999815e-01 -3.051094477399999838e-01
1.081078967600000107e+00 -4.334606715400000088e-01 -3.052051896399999853e-01
1.081160376499999964e+00 -4.322900987100000147e-01 -3.074728754300000144e-01
1.081241784299999953e+00 -4.338167408699999950e-01 -3.116040194599999924e-01
1.081323191200000089e+00 -4.369453435099999727e-01 -3.162328390899999953e-01
1.081404597299999937e+00 -4.403504872699999795e-01 -3.188243136500000241e-01
1.081486002499999932e+00 -4.429497446599999777e-01 -3.184558892100000094e-01
1.081567406800000075e+00 -4.438394445200000149e-01 -3.149136585299999735e-01
1.081648810199999922e+00 -4.424439682499999860e-01 -3.098243748999999769e-01
1.081730212599999907e+00 -4.385386273399999868e-01 -3.060408498700000202e-01
1.081811613900000024e+00 -4.338219196599999994e-01 -3.045390201400000052e-01
1.081893014200000058e+00 -4.310018654600000221e-01 -3.054036228900000038e-01
1.081974413500000010e+00 -4.317711237399999846e-01 -3.090164555900000165e-01
1.082055350699999918e+00 -4.359042658400000270e-01 -3.135048947199999825e-01
1.082136747999999926e+00 -4.413496083199999753e-01 -3.155744968900000003e-01
1.082218144200000065e+00 -4.453739276800000035e-01 -3.142957410400000207e-01
1.082299539399999899e+00 -4.467428353799999807e-01 -3.106196973700000030e-01
1.082380933500000086e+00 -4.455823028399999997e-01 -3.062888698299999768e-01
1.082462326499999961e+00 -4.414667542499999819e-01 -3.036962192100000069e-01
1.082543718399999966e+00 -4.356316863999999955e-01 -3.050727284399999961e-01
1.082625109200000102e+00 -4.308615208400000118e-01 -3.100696134400000026e-01
1.082706498999999933e+00 -4.294555862300000193e-01 -3.157117341299999769e-01
1.082787887799999904e+00 -4.321474091999999989e-01 -3.194846228400000099e-01
1.082869275600000014e+00 -4.375154077999999780e-01 -3.200236934799999822e-01
1.082950662400000041e+00 -4.433073149499999754e-01 -3.166104709700000019e-01
1.083031740400000054e+00 -4.472695055700000033e-01 -3.106453608799999988e-01
1.083113125199999915e+00 -4.474435613900000219e-01 -3.057208572199999752e-01
1.083194509199999933e+00 -4.441691836100000179e-01 -3.042526462699999823e-01
1.083275892300000098e+00 -4.391244473600000031e-01 -3.065498232200000173e-01
1.083357274499999967e+00 -4.340091265700000145e-01 -3.120301215999999878e-01
1.083438655699999975e+00 -4.309042973900000240e-01 -3.186342574400000127e-01
1.083520035999999909e+00 -4.312192448400000155e-01 -3.225086519500000026e-01
1.083601415199999973e+00 -4.343491209299999989e-01 -3.215242389299999837e-01
1.083682793399999955e+00 -4.387394525200000173e-01 -3.162790006000000265e-01
1.083764170600000076e+00 -4.430055493300000258e-01 -3.097649552999999778e-01
1.083845546700000106e+00 -4.453110312199999865e-01 -3.052389866499999882e-01
1.083926921900000062e+00 -4.445428134100000150e-01 -3.039971786099999740e-01
1.084008137399999905e+00 -4.413872895200000035e-01 -3.064303690799999869e-01
1.084089510499999909e+00 -4.376968036300000198e-01 -3.117010695799999898e-01
1.084170882700000060e+00 -4.345913838300000109e-01 -3.180218656800000154e-01
1.084252253799999899e+00 -4.335752988700000143e-01 -3.217399622000000070e-01
1.084333623600000074e+00 -4.346200053300000032e-01 -3.195813427900000003e-01
1.084414992099999919e+00 -4.361578552500000039e-01 -3.130306753900000127e-01
1.084496359499999896e+00 -4.382999252199999973e-01 -3.054341805899999929e-01
1.084577725900000011e+00 -4.406662212499999898e-01 -3.003553008200000041e-01
1.084659091400000053e+00 -4.414489871200000248e-01 -3.000906138100000176e-01
1.084740456000000020e+00 -4.406526408800000016e-01 -3.038596785000000078e-01
1.084821819699999912e+00 -4.391925610599999863e-01 -3.104530556799999785e-01
1.084903182499999952e+00 -4.373172643200000098e-01 -3.171769278000000081e-01
1.084984544199999901e+00 -4.358067126099999800e-01 -3.196951250000000244e-01
1.085065901999999971e+00 -4.356477597399999735e-01 -3.169484110999999937e-01
1.085147261599999968e+00 -4.366736045699999846e-01 -3.118265785900000142e-01
1.085228619900000080e+00 -4.379170776899999895e-01 -3.071566700700000263e-01
1.085309977000000092e+00 -4.389833040900000261e-01 -3.049370086200000052e-01
1.085391332900000005e+00 -4.395771033299999964e-01 -3.060287961800000067e-01
1.085472687700000050e+00 -4.398908470399999771e-01 -3.097203138999999883e-01
1.085554041400000003e+00 -4.400674179999999880e-01 -3.139000488199999994e-01
1.085635394200000103e+00 -4.399781180699999794e-01 -3.163198605699999999e-01
